c,ac31_nonzero,ac0b_nonzero
0x37,"0xD12D,0x08;0xD12F,0x20;0xD131,0x24;0xD132,0x02;","0xD127,0x20;0xD128,0x04;0xD12D,0x20;0xD12E,0x02;0xD132,0x04;"
0x38,"0xD12D,0x08;0xD12F,0x20;0xD130,0x08;","0xD12D,0x20;0xD130,0x01;0xD132,0x04;"
0x39,"0xD12D,0x08;0xD12F,0x20;0xD130,0x08;0xD131,0x20;","0xD127,0x20;0xD12D,0x20;0xD130,0x01;0xD132,0x04;"
0x3A,"0xD12D,0x08;0xD12F,0x20;0xD130,0x08;0xD132,0x02;","0xD128,0x04;0xD12D,0x20;0xD130,0x01;0xD132,0x04;"
0x3B,"0xD12D,0x08;0xD12F,0x20;0xD130,0x08;0xD131,0x20;0xD132,0x02;","0xD127,0x20;0xD128,0x04;0xD12D,0x20;0xD130,0x01;0xD132,0x04;"
0x3C,"0xD12D,0x08;0xD12F,0x20;0xD130,0x08;0xD131,0x04;","0xD12D,0x20;0xD12E,0x02;0xD130,0x01;0xD132,0x04;"
0x3D,"0xD12D,0x08;0xD12F,0x20;0xD130,0x08;0xD131,0x24;","0xD127,0x20;0xD12D,0x20;0xD12E,0x02;0xD130,0x01;0xD132,0x04;"
0x3E,"0xD12D,0x08;0xD12F,0x20;0xD130,0x08;0xD131,0x04;0xD132,0x02;","0xD128,0x04;0xD12D,0x20;0xD12E,0x02;0xD130,0x01;0xD132,0x04;"
0x3F,"0xD12D,0x08;0xD12F,0x20;0xD130,0x08;0xD131,0x24;0xD132,0x02;","0xD127,0x20;0xD128,0x04;0xD12D,0x20;0xD12E,0x02;0xD130,0x01;0xD132,0x04;"
0x40,"0xD12A,0x01;",""
